id,pergunta,resposta
23,Qual a remuneração ou salário do cargo do concurso PETROBRAS?,"De acordo com o
Anexo II
do edital, a remuneração do cargo é:
CARGO:
Profissional Petrobras de Nível Superior Júnior
REMUNERAÇÃO:
Salário básico de
R$ 6.937,43
Com garantia de remuneração mínima de
R$ 11.716,82
INFORMAÇÕES COMPLEMENTARES SOBRE A REMUNERAÇÃO E BENEFÍCIOS:
Sobre as vantagens e benefícios (item 15.1):
Os candidatos admitidos fariam jus à
remuneração, vantagens e benefícios
que estivessem vigorando à época das respectivas admissões
Sobre o regime de trabalho (item 1.5):
O candidato contratado estaria submetido à
Consolidação das Leis Trabalhistas (CLT)
Sobre o contrato de trabalho (item 14.6):
Os candidatos assinariam contrato de trabalho regido pelos preceitos da
CLT
Sujeitando-se ao:
Plano de Carreiras e Remuneração
Normas de Recursos Humanos
Código de Conduta Ética
Planos de Desenvolvimento de Recursos Humanos (DRH)
Sobre o período experimental (item 14.8):
A contratação seria de caráter
experimental nos primeiros 90 dias
Ao término, se o desempenho fosse satisfatório, o contrato se converteria automaticamente em
prazo indeterminado
Sobre o Plano de Desenvolvimento de RH (item 14.6.1):
O DRH abrange as seguintes modalidades:
Programa de Formação
Cursos de aperfeiçoamento
Cursos de pós-graduação
(especialização, mestrado e doutorado)
Entre outras modalidades
Sobre alterações na remuneração (item 14.9):
Para atender a determinações governamentais ou conveniências administrativas, a Petrobras poderia
alterar o Plano de Carreiras e Remuneração
vigente
Qualquer alteração ocorrida por ocasião da admissão significaria a
integral e irrestrita adesão
ao novo plano
Portanto, a remuneração do cargo de Profissional Petrobras de Nível Superior Júnior é de salário básico de R$ 6.937,43, com garantia de remuneração mínima de R$ 11.716,82."
24,Qual é o regime de contratação ou vínculo do concurso PETROBRAS?,"De acordo com o edital, o regime de contratação do concurso Petrobras é:
REGIME DE CONTRATAÇÃO:
Consolidação das Leis Trabalhistas (CLT)
INFORMAÇÕES DETALHADAS SOBRE O REGIME DE CONTRATAÇÃO:
Sobre o regime CLT (item 1.5):
O candidato contratado estaria submetido à
Consolidação das Leis Trabalhistas (CLT)
Ou seja,
não se trata
de cargo público estatutário, mas sim de
emprego público
Sobre o contrato de trabalho (item 14.6):
Os candidatos assinariam contrato de trabalho regido pelos preceitos da
CLT
Sujeitando-se ao:
Plano de Carreiras e Remuneração
Normas de Recursos Humanos
Código de Conduta Ética
Planos de Desenvolvimento de Recursos Humanos (DRH)
SOBRE O PERÍODO EXPERIMENTAL (item 14.8):
A contratação seria de caráter
experimental nos primeiros 90 dias
Ao término, se o desempenho fosse
satisfatório, o contrato se converteria automaticamente em
prazo indeterminado
SOBRE A ADMISSÃO E READMISSÃO (item 14):
Requisitos para admissão (item 14.3):
O candidato deveria comprovar até a data definida pela Petrobras:
Requisitos exigidos nos
itens 4 e 12
do edital
Requisitos do
Anexo II
do edital
Sobre readmissão (item 14.7):
Seria
vedada
a readmissão de ex-empregado da Petrobras ou Sistema Petrobras
dispensado por justa causa
Sobre a alocação (item 14.5):
Respeitada a ênfase definida na inscrição, a alocação seria realizada de acordo com a
necessidade e conveniência da Petrobras
Não estaria
obrigatoriamente vinculada à:
Ordem de classificação do candidato
Domicílio do candidato
Sobre transferências (item 14.11):
Havendo necessidade da companhia, os empregados poderiam ser
transferidos para qualquer Unidade da Federação, independentemente do local de admissão
SOBRE OS REQUISITOS BÁSICOS PARA ADMISSÃO (item 4):
O candidato deveria:
Ter
nacionalidade brasileira ou portuguesa
Estar em dia com as
obrigações eleitorais
Estar em dia com as
obrigações militares
(para candidatos do sexo masculino)
Ter idade mínima de
18 anos
completos na data de admissão
Não ter 75 anos
ou mais, desde que cumprido o tempo mínimo de contribuição para aposentadoria
Ter
aptidão física e mental
para o exercício das atribuições
Ser
aprovado
no processo seletivo público
Não receber
proventos de aposentadoria ou remuneração de cargo público, ressalvados os cargos acumuláveis previstos na Constituição Federal
SOBRE O DESENVOLVIMENTO PROFISSIONAL (item 14.6.1):
O Plano de Desenvolvimento de RH (DRH) abrange:
Programa de Formação
Cursos de aperfeiçoamento
Cursos de pós-graduação:
Especialização
Mestrado
Doutorado
Entre outras modalidades
SOBRE AS VANTAGENS E BENEFÍCIOS (item 15.1):
Os candidatos admitidos fariam jus à
remuneração, vantagens e benefícios
que estivessem vigorando à época das respectivas admissões
SOBRE ALTERAÇÕES NO PLANO DE CARREIRAS (item 14.9):
A Petrobras poderia alterar o
Plano de Carreiras e Remuneração
vigente para atender a:
Determinações governamentais
Conveniências administrativas
Qualquer alteração significaria a
integral e irrestrita adesão
ao novo plano por parte dos candidatos admitidos
Portanto, o regime de contratação do concurso Petrobras é o da CLT (Consolidação das Leis Trabalhistas), caracterizando um vínculo de emprego público, com contrato experimental de 90 dias, convertendo-se automaticamente em prazo indeterminado caso o desempenho seja satisfatório."
25,Qual é a jornada de trabalho do cargo no concurso PETROBRAS?,"Após verificar cuidadosamente o edital,
a jornada de trabalho não foi especificada
no documento disponibilizado.
O edital traz informações sobre:
Regime de contratação:
CLT
Remuneração:
Salário básico de R$ 6.937,43 com garantia de remuneração mínima de R$ 11.716,82
Período experimental:
90 dias
Plano de Carreiras e Remuneração
Desenvolvimento profissional
Porém,
não há menção expressa
sobre:
Carga horária semanal
Jornada diária de trabalho
Escala de trabalho
Regime de turnos
Para obter essa informação, o candidato poderia:
Acessar o site da
Petrobras:
www.petrobras.com.br
Acessar o site do
Cebraspe:
http://www.cebraspe.org.br/concursos/petrobras_21_ns
Entrar em contato com a
Central de Atendimento do Cebraspe:
Telefone:
(61) 3448-0100
E-mail:
sac@cebraspe.org.br
Horário:
Das 8h30 às 18h30, exceto sábados, domingos e feriados
Portanto, a jornada de trabalho não está prevista no edital disponibilizado, sendo necessário consultar outras fontes oficiais da Petrobras para obter essa informação."
26,Qual escolaridade é exigida para concorrer à área de Ciência de Dados no concurso PETROBRAS?,"De acordo com o
Anexo II
do edital, o requisito de escolaridade para a
Ênfase 7: Ciência de Dados
é:
ESCOLARIDADE EXIGIDA:
Nível Superior Completo
REQUISITO ESPECÍFICO:
Certificado de conclusão ou diploma, devidamente
registrado, de curso de
graduação de nível superior, reconhecido pelo:
MEC
(Ministério da Educação)
Secretarias Estaduais de Educação
Conselhos Estaduais de Educação
INFORMAÇÕES IMPORTANTES SOBRE O REQUISITO:
Sobre a abrangência dos cursos aceitos:
Esta é a ênfase com o requisito mais
amplo e abrangente
do concurso
Aceita
qualquer curso de graduação
de nível superior
Não exige
curso específico ou área de formação determinada
Não exige
registro em Conselho de Classe
Comparativo com outras ênfases:
Diferente de ênfases como
Administração
(item 1.1), que exige graduação específica em Administração e registro no Conselho de Classe
Diferente de ênfases como
Engenharia Mecânica
(item 1.14), que exige graduação específica em Engenharia Mecânica
Diferente de ênfases como
Economia
(item 1.8), que exige graduação específica em Economia e registro no Conselho de Classe
SOBRE A COMPROVAÇÃO DOS REQUISITOS (item 12):
Quando seria exigida (item 12.1):
Os candidatos aprovados seriam convocados para
comprovação de requisitos, etapa eliminatória de responsabilidade da Petrobras
Documentos necessários (item 12.3):
O candidato deveria apresentar cópias digitalizadas de:
Documento de identidade
Título de eleitor
Certidão de quitação eleitoral
CPF
Certidão de nascimento ou casamento
Comprovante de registro e pagamento de anuidade
do Órgão de Classe (quando tratar-se de profissão regulamentada)
Comprovante de inscrição no PIS/PASEP
(se possuir)
Carteira de Trabalho e Previdência Social (CTPS)
(se possuir)
Comprovante de tempo de vinculação previdenciária
Sobre o prazo (item 12.3.2):
A não apresentação dos documentos até a
data da admissão
implicaria a
eliminação automática
do candidato
REQUISITOS BÁSICOS PARA ADMISSÃO (item 4):
Além da escolaridade, o candidato deveria:
Ter
nacionalidade brasileira ou portuguesa
Estar em dia com as
obrigações eleitorais
Estar em dia com as
obrigações militares
(para candidatos do sexo masculino)
Ter idade mínima de
18 anos
completos na data de admissão
Não ter 75 anos
ou mais
Ter
aptidão física e mental
para o exercício das atribuições
Não receber
proventos de aposentadoria ou remuneração de cargo público, ressalvados os cargos acumuláveis previstos na Constituição Federal
Portanto, para concorrer à Ênfase 7: Ciência de Dados, o candidato precisa apenas ter diploma de graduação de nível superior em qualquer área, reconhecido pelo MEC, sendo esta a ênfase mais abrangente em termos de requisito de escolaridade no concurso Petrobras."
27,O concurso PETROBRAS exige registro em conselho profissional para Ciência de Dados?,"De acordo com o
Anexo II
do edital, para a
Ênfase 7: Ciência de Dados:
NÃO É EXIGIDO
registro em Conselho de Classe/Profissional!
O requisito para esta ênfase é apenas (item 1.7):
Certificado de conclusão ou diploma, devidamente
registrado, de curso de
graduação de nível superior, reconhecido pelo:
MEC
(Ministério da Educação)
Secretarias Estaduais de Educação
Conselhos Estaduais de Educação
COMPARATIVO COM ÊNFASES QUE EXIGEM REGISTRO:
As ênfases que
exigem
registro em Conselho de Classe são:
Ênfase
Conselho Exigido
Ênfase 1: Administração
CRA
Ênfase 8: Economia
CORECON
Ênfase 9: Engenharia Ambiental
CREA
Ênfase 10: Engenharia Civil
CREA
Ênfase 11: Eng. de Equipamentos – Elétrica
CREA
Ênfase 12: Eng. de Equipamentos – Eletrônica
CREA
Ênfase 13: Eng. de Equipamentos – Inspeção
CREA
Ênfase 14: Eng. de Equipamentos – Mecânica
CREA
Ênfase 15: Eng. de Equipamentos – Terminais e Dutos
CREA
Ênfase 16: Engenharia de Petróleo
CREA
Ênfase 17: Engenharia de Processamento
CREA
Ênfase 18: Engenharia de Produção
CREA
Ênfase 19: Eng. de Segurança de Processo
CREA
Ênfase 20: Eng. de Segurança do Trabalho
CREA
Ênfase 21: Engenharia Naval
CREA
Ênfase 24: Geologia
CRQ/CREA
ÊNFASES QUE NÃO EXIGEM
registro em Conselho de Classe:
Ênfase
Ênfase 2: Análise – Comércio e Suprimento
Ênfase 3: Análise – Transporte Marítimo
Ênfase 4: Analista de Sistemas – Eng. de Software
Ênfase 5: Analista de Sistemas – Infraestrutura
Ênfase 6: Analista de Sistemas – Proc. de Negócio
Ênfase 7: Ciência de Dados
Ênfase 22: Geofísica – Física
Ênfase 23: Geofísica – Geologia
INFORMAÇÕES COMPLEMENTARES:
Sobre a comprovação de requisitos (item 12.3):
O candidato seria convocado para comprovação de requisitos após aprovação
Para ênfases que exigem registro, deveria apresentar:
Comprovante de registro
no Órgão de Classe
Comprovante de pagamento
da anuidade do Órgão de Classe
Sobre a eliminação por falta de documentos (item 12.3.2):
A não apresentação dos documentos exigidos até a data da admissão implicaria a
eliminação automática
do candidato
Portanto, a Ênfase 7: Ciência de Dados NÃO exige registro em Conselho de Classe ou profissional, sendo necessário apenas apresentar diploma de graduação de nível superior em qualquer área, reconhecido pelo MEC."
28,"Quais requisitos gerais de idade, nacionalidade e situação regular o candidato deve observar no concurso PETROBRAS?","De acordo com o
item 4
do edital, os requisitos gerais que o candidato deve observar são:
1. REQUISITO DE NACIONALIDADE (item 4.1):
Ter
nacionalidade brasileira
ou
portuguesa
Em caso de nacionalidade
portuguesa, estar amparado pelo:
Estatuto de igualdade
entre brasileiros e portugueses
Com reconhecimento de direitos e obrigações civis
E gozo de direitos políticos
Nos termos do
parágrafo 1º, artigo 12 da Constituição Federal
E do
Tratado de Amizade, Cooperação e Consulta, promulgado pelo
Decreto nº 3.927/2001
2. REQUISITO DE IDADE (itens 4.4 e 4.5):
Idade mínima:
Ter idade mínima de
18 anos completos
na data de admissão ou readmissão
Idade máxima:
Não ter 75 anos
ou mais, desde que:
Tenha cumprido o
tempo mínimo de contribuição
estabelecido para fins de aposentadoria
Conforme estabelecido pelo
§ 16º do artigo 201 da Constituição Federal
Incluído pela
Emenda Constitucional nº 103/2019
3. REQUISITOS DE SITUAÇÃO REGULAR:
Obrigações eleitorais (item 4.2):
Estar em dia com as
obrigações eleitorais
Comprovado por meio de:
Título de eleitor
Certidão de quitação eleitoral
emitida pela Justiça Eleitoral relativa à última eleição
Obrigações militares (item 4.3):
Estar em dia com as
obrigações militares
Aplicável apenas aos candidatos
brasileiros do sexo masculino
Aptidão física e mental (item 4.6):
Ter
aptidão física e mental
para o exercício das atribuições da ênfase
Comprovada por meio de
exames específicos
(exames médicos admissionais)
Situação funcional (item 4.8):
Não receber
proventos de aposentadoria ou remuneração oriundos de cargo, emprego ou função pública
Ressalvados
os cargos acumuláveis previstos na Constituição Federal
4. REQUISITOS ESPECÍFICOS:
Sobre aprovação no processo seletivo (item 4.7):
Ser
aprovado
no processo seletivo público
Preencher os requisitos previstos no
item 14
e no
Anexo II
do edital
Sobre cumprimento do edital (item 4.9):
Cumprir
todas as determinações do edital
5. SOBRE A COMPROVAÇÃO DOS REQUISITOS (item 12.3):
O candidato deveria apresentar cópias digitalizadas de:
Documento de identidade
Título de eleitor
Certidão de quitação eleitoral
emitida pela Justiça Eleitoral relativa à última eleição
CPF
Certidão de nascimento ou casamento
e certidão de nascimento dos dependentes (se for o caso)
Comprovante de registro e pagamento de anuidade
do Órgão de Classe (quando tratar-se de profissão regulamentada)
Comprovante de inscrição no PIS/PASEP
(se possuir)
Carteira de Trabalho e Previdência Social (CTPS)
(se possuir)
Comprovante de tempo de vinculação previdenciária
6. SOBRE AS CONSEQUÊNCIAS DO NÃO ATENDIMENTO:
Sobre a eliminação (item 12.3.2):
A não apresentação dos documentos até a
data da admissão
implicaria a
eliminação automática
do candidato
Sobre a readmissão (item 14.7):
Seria
vedada
a readmissão de ex-empregado da Petrobras ou Sistema Petrobras
dispensado por justa causa
Sobre acumulação de cargos (item 12.3.3):
A admissão está condicionada ao atendimento aos
incisos XVI e XVII do artigo 37
da Constituição Federal
O candidato deveria assinar
declaração específica
sobre este requisito
Portanto, os requisitos gerais que o candidato deve observar no concurso Petrobras são:
Nacionalidade:
brasileira ou portuguesa
Idade mínima:
18 anos completos na data de admissão
Idade máxima:
menos de 75 anos
Obrigações eleitorais:
em dia
Obrigações militares:
em dia (para homens)
Aptidão física e mental:
comprovada por exames
Situação funcional:
não receber proventos de aposentadoria ou remuneração de cargo público (ressalvados os acumuláveis)
Aprovação:
no processo seletivo público
Cumprimento:
de todas as determinações do edital"
29,O cargo de Ciência de Dados exige disponibilidade para viagens no concurso PETROBRAS?,"Após verificar cuidadosamente o edital,
a exigência de disponibilidade para viagens não foi especificada
no documento disponibilizado.
O edital menciona apenas aspectos relacionados à mobilidade geográfica:
Sobre alocação (item 14.5):
A alocação do candidato seria realizada de acordo com a
necessidade e conveniência da Petrobras
Não estaria
obrigatoriamente vinculada à:
Ordem de classificação do candidato
Domicílio do candidato
Sobre transferências (item 14.11):
Havendo necessidade da companhia, os empregados poderiam ser
transferidos para qualquer Unidade da Federação
Independentemente do
local de admissão
Sobre despesas de mudança (item 14.10):
Caberá ao candidato selecionado para admissão em
localidade diversa de seu domicílio
arcar com o
ônus de sua mudança
O que o edital NÃO menciona:
Disponibilidade para viagens
Frequência de deslocamentos
Diárias e ajudas de custo
Regiões de atuação específicas
Requisito de disponibilidade para trabalho em campo
Para obter essa informação, o candidato poderia:
Pelo site do Cebraspe:
http://www.cebraspe.org.br/concursos/petrobras_21_ns
Pelo site da Petrobras:
www.petrobras.com.br
Pela Central de Atendimento do Cebraspe:
Telefone:
(61) 3448-0100
E-mail:
sac@cebraspe.org.br
Horário:
Das 8h30 às 18h30, exceto sábados, domingos e feriados
Presencialmente:
Central de Atendimento ao Candidato do Cebraspe
Universidade de Brasília (UnB) – Campus Darcy Ribeiro
Sede do Cebraspe – Asa Norte, Brasília/DF
Portanto, a disponibilidade para viagens não está prevista no edital disponibilizado, sendo necessário consultar outras fontes oficiais da Petrobras para obter essa informação."
30,Quais são as atribuições gerais do cargo ligado à Ciência de Dados no concurso PETROBRAS?,"De acordo com o
Anexo II, item 1.7
do edital, as atribuições do cargo para a
Ênfase 7: Ciência de Dados
são:
CARGO:
Profissional Petrobras de Nível Superior Júnior
SÍNTESE DAS ATRIBUIÇÕES:
1. Desenvolvimento, análise e modelagem de dados:
Atuar no
desenvolvimento, análise e modelagem de dados
em diversos segmentos da Companhia
2. Soluções baseadas em tecnologia:
Atuar na
análise, implementação, implantação e consultoria
em soluções baseadas em:
Estatística
Aprendizado de máquina
Processamento digital de imagens
Processamento de linguagem natural (PLN)
3. Fiscalização de contratos:
Executar a
fiscalização técnica e administrativa
dos contratos de bens e serviços
CONTEÚDO PROGRAMÁTICO RELACIONADO ÀS ATRIBUIÇÕES (Anexo III):
As atribuições estão diretamente relacionadas aos conhecimentos exigidos nas provas, organizados em três blocos:
Bloco I — Aprendizado de Máquina:
Aprendizado supervisionado:
Regressão e Classificação
Métricas de avaliação
Overfitting e underfitting
Regularização
Validação Cruzada
Algoritmos: Regressão Linear e Logística
Árvores de decisão e random forests
Máquina de suporte de vetores
Naive Bayes e K-NN
Ensembles
Python scikit-learn
Aprendizado não supervisionado:
Redução de dimensionalidade (PCA)
Agrupamento K-Means
Mistura de Gaussianas
Agrupamento Hierárquico
Regras de associação
Redes neurais artificiais:
Conceitos básicos e arquitetura
Funções de Ativação
Backpropagation
Redes Neurais Convolucionais
Redes Neurais Recorrentes
Python com Keras e Pytorch
Bloco II — Machine Learning Aplicado:
Visão computacional:
Classificação de imagens
Detecção de objetos
Segmentação de objetos e instâncias
Processamento Natural de Linguagem:
Stopwords, stemização e n-grams
TF-IDF
Modelagem de tópicos (LDA, NMF)
Word embeddings (CBOW e Skip Gram)
Séries Temporais
Manipulação e visualização de dados:
Técnicas de visualização
Valores faltantes
Dados categóricos
Normalização numérica
Detecção e tratamento de outliers
Python Pandas
Banco de dados e data warehouse:
Modelo entidade-relacionamento
SQL
Data warehousing
Hadoop (HDFS, MapReduce, YARN e Spark)
Bancos NoSQL
Bloco III — Fundamentos Matemáticos e Tecnológicos:
Cálculo:
Funções, limites e derivadas
Derivadas parciais
Máximos e mínimos
Integrais
Álgebra Linear:
Vetores e matrizes
Transformações lineares
Normas (L1, L2)
Autovalores e autovetores
Decomposição SVD
Python Numpy
Probabilidade e estatística:
Probabilidade condicional
Variáveis aleatórias
Distribuições contínuas e discretas
Inferência estatística
Teste de hipótese
Intervalo de confiança
Inferência Bayesiana
Algoritmos e estrutura de dados:
Complexidade de algoritmos
Notação assintótica (Big O)
Conceitos modernos de sistemas de informação:
Nuvem (IaaS, PaaS e SaaS)
Containers
DevOps (git, pipeline e CI/CD)
INFORMAÇÕES COMPLEMENTARES SOBRE O CARGO:
Sobre o regime de trabalho (item 1.5):
O candidato contratado estaria submetido à
CLT
Sobre o desenvolvimento profissional (item 14.6.1):
O cargo oferece acesso ao Plano de Desenvolvimento de RH (DRH), que abrange:
Programa de Formação
Cursos de aperfeiçoamento
Cursos de pós-graduação:
Especialização
Mestrado
Doutorado
Sobre a alocação (item 14.5):
A alocação seria realizada de acordo com a
necessidade e conveniência da Petrobras
Não estaria obrigatoriamente vinculada à:
Ordem de classificação
Domicílio do candidato
Sobre transferências (item 14.11):
Os empregados poderiam ser
transferidos para qualquer Unidade da Federação
Independentemente do local de admissão
Portanto, as atribuições gerais do cargo de Ciência de Dados na Petrobras envolvem principalmente o desenvolvimento e modelagem de dados, implementação de soluções baseadas em estatística e aprendizado de máquina, processamento digital de imagens e linguagem natural, além da fiscalização técnica e administrativa de contratos de bens e serviços."
31,O concurso PETROBRAS contém provas objetivas?,"De acordo com o edital,
sim! O concurso Petrobras contém provas objetivas. Veja todos os detalhes:
ESTRUTURA DAS PROVAS OBJETIVAS:
Para todas as ênfases, exceto Ênfase 19 (item 6.1.1):
Prova
Tipo
Área
Itens
Caráter
P1
Objetiva
Conhecimentos Básicos
50
Eliminatório e Classificatório
P2
Objetiva
Conhecimentos Específicos
70
Eliminatório e Classificatório
Para a Ênfase 19: Engenharia de Segurança de Processo (item 6.1.2):
Prova
Tipo
Área
Itens
Caráter
P1
Objetiva
Conhecimentos Básicos
50
Eliminatório e Classificatório
P2
Objetiva
Conhecimentos Específicos
70
Eliminatório e Classificatório
P3
Avaliação de Títulos
—
—
Classificatório
SOBRE A APLICAÇÃO DAS PROVAS:
Data e turno (item 6.2):
As provas objetivas teriam duração de
4 horas
Seriam aplicadas no
turno da tarde
Na data prevista estabelecida no cronograma
Data de aplicação (Anexo IV):
As provas foram aplicadas em
20 de fevereiro de 2022
Local de realização (item 1.3):
Nas
26 capitais
das Unidades da Federação
E no
Distrito Federal
SOBRE O FORMATO DAS PROVAS OBJETIVAS (item 7.2):
Cada prova seria constituída de
itens para julgamento
Agrupados por
comandos
que deveriam ser respeitados
O julgamento de cada item seria
CERTO ou ERRADO
Haveria dois campos de marcação na folha de respostas:
Campo
C
— para item julgado
CERTO
Campo
E
— para item julgado
ERRADO
SOBRE A PONTUAÇÃO (item 7.11.2):
A nota em cada item seria igual a:
+1,00 ponto
— resposta em concordância com o gabarito oficial definitivo
-1,00 ponto
— resposta em discordância com o gabarito oficial definitivo
0,00 ponto
— caso não haja marcação ou haja marcação dupla (C e E)
SOBRE O VALOR DAS PROVAS (item 7.1):
As provas objetivas valeriam
120,00 pontos
no total
Abrangeriam os objetos de avaliação constantes do
Anexo III
do edital
CRITÉRIOS DE ELIMINAÇÃO (item 7.11.4):
Seria eliminado o candidato que obtivesse:
Nota inferior a
10,00 pontos
na prova P1 (Conhecimentos Básicos)
Nota inferior a
21,00 pontos
na prova P2 (Conhecimentos Específicos)
Nota inferior a
36,00 pontos
no conjunto das provas
SOBRE A FOLHA DE RESPOSTAS (itens 7.4 a 7.9):
Regras importantes:
O candidato deveria
transcrever
as respostas para a folha de respostas
A folha de respostas seria o
único documento válido
para correção
Não haveria
substituição da folha por motivo de erro do candidato
Não seria permitido
que as marcações fossem feitas por outras pessoas
Exceto para candidatos com atendimento especial deferido
Seriam
anuladas
as provas do candidato que não devolver a folha de respostas
Cuidados com a folha:
O candidato
não poderia:
Amassar
Molhar
Dobrar
Rasgar
Manchar
Danificar a folha de respostas
SOBRE O GABARITO (item 7.12):
Divulgação do gabarito preliminar:
Divulgado a partir das
19 horas
do dia
22 de fevereiro de 2022
No site do Cebraspe
Recursos contra o gabarito:
Prazo:
23 e 24 de fevereiro de 2022
Das 10h do primeiro dia às 18h do último dia
Através do
Sistema Eletrônico de Interposição de Recurso
Sobre anulação de itens (item 7.12.7):
Se um item fosse anulado, a pontuação seria atribuída a
todos os candidatos
Independentemente de terem recorrido
Sobre alteração de gabarito (item 7.12.8):
Se um gabarito fosse alterado, valeria para
todos os candidatos
Independentemente de terem recorrido
SOBRE OS CONHECIMENTOS BÁSICOS (Anexo III):
As provas objetivas de conhecimentos básicos abrangeriam:
Língua Portuguesa:
Compreensão e interpretação de textos
Reconhecimento de tipos e gêneros textuais
Domínio da ortografia oficial
Mecanismos de coesão textual
Estrutura morfossintática do período
Reescrita de frases e parágrafos
Língua Inglesa:
Compreensão de textos escritos em língua inglesa
Itens gramaticais relevantes para entendimento dos textos
Portanto, sim, o concurso Petrobras contém provas objetivas, compostas de 50 itens de Conhecimentos Básicos (P1) e 70 itens de Conhecimentos Específicos (P2), totalizando 120 itens, com sistema de pontuação de +1,00 para acertos e -1,00 para erros, aplicadas no turno da tarde com duração de 4 horas."
32,Quantas questões ou itens objetivos existem no concurso PETROBRAS?,"De acordo com o
item 6.1
do edital, o número de questões ou itens objetivos no concurso Petrobras é:
PARA TODAS AS ÊNFASES (exceto Ênfase 19):
Prova
Área
Itens
P1
Conhecimentos Básicos
50
P2
Conhecimentos Específicos
70
Total
120 itens
PARA A ÊNFASE 19: Engenharia de Segurança de Processo:
Prova
Área
Itens
P1
Conhecimentos Básicos
50
P2
Conhecimentos Específicos
70
P3
Avaliação de Títulos
—
Total
120 itens
SOBRE A PONTUAÇÃO DOS ITENS (item 7.11.2):
Situação
Pontuação
Resposta correta
+1,00 ponto
Resposta errada
-1,00 ponto
Sem marcação ou marcação dupla
0,00 ponto
VALOR TOTAL DAS PROVAS (item 7.1):
As provas objetivas valeriam
120,00 pontos
no total
CRITÉRIOS DE ELIMINAÇÃO (item 7.11.4):
Seria eliminado o candidato que obtivesse:
Nota inferior a
10,00 pontos
na prova
P1
Nota inferior a
21,00 pontos
na prova
P2
Nota inferior a
36,00 pontos
no
conjunto das provas
SOBRE O FORMATO DOS ITENS (item 7.2):
Cada item seria para
julgamento
Agrupados por
comandos
que deveriam ser respeitados
O julgamento seria
CERTO ou ERRADO
Haveria dois campos de marcação:
Campo
C
— item julgado
CERTO
Campo
E
— item julgado
ERRADO
SOBRE A DURAÇÃO DAS PROVAS (item 6.2):
As provas objetivas teriam duração de
4 horas
Seriam aplicadas no
turno da tarde
Portanto, o concurso Petrobras possui um total de 120 itens objetivos, sendo 50 itens de Conhecimentos Básicos (P1) e 70 itens de Conhecimentos Específicos (P2), com sistema de pontuação de +1,00 para acertos e -1,00 para erros."
33,Qual o total de pontos das provas objetivas para o concurso PETROBRAS?,"De acordo com o
item 7.1
do edital, o total de pontos das provas objetivas é:
TOTAL DE PONTOS:
120,00 pontos
DISTRIBUIÇÃO DOS PONTOS POR PROVA:
Prova
Área
Itens
Pontos
P1
Conhecimentos Básicos
50
50,00
P2
Conhecimentos Específicos
70
70,00
Total
120
120,00
SOBRE A PONTUAÇÃO DE CADA ITEM (item 7.11.2):
Situação
Pontuação
Resposta
correta
+1,00 ponto
Resposta
errada
-1,00 ponto
Sem marcação
ou marcação dupla (C e E)
0,00 ponto
CRITÉRIOS DE ELIMINAÇÃO (item 7.11.4):
Seria eliminado o candidato que obtivesse:
Situação
Nota Mínima
Prova P1 (Conhecimentos Básicos)
10,00 pontos
Prova P2 (Conhecimentos Específicos)
21,00 pontos
Conjunto das provas (P1 + P2)
36,00 pontos
SOBRE A NOTA FINAL (itens 10.1 e 10.2):
Para todas as ênfases, exceto Ênfase 19:
A nota final seria a
nota final nas provas objetivas (NFPO)
Para a Ênfase 19: Engenharia de Segurança de Processo:
A nota final seria o
somatório
de:
Nota final nas provas objetivas
(NFPO)
Nota final na avaliação de títulos
(NFAT)
Sendo que a avaliação de títulos valeria até
9,00 pontos
SOBRE O ARREDONDAMENTO (item 10.7):
Todos os resultados seriam expressos até a
segunda casa decimal
Arredondando para o número imediatamente superior se o algarismo da
terceira casa decimal
for igual ou superior a
cinco
SOBRE A CLASSIFICAÇÃO (item 7.11.5):
Os candidatos não eliminados seriam ordenados por ênfase de acordo com os valores
decrescentes
da nota final nas provas objetivas
Que seria a
soma das notas
obtidas nas provas P1 e P2
CRITÉRIOS DE DESEMPATE (item 10.8.1):
Em caso de empate na nota final, teria preferência o candidato que, na seguinte ordem:
Tiver idade
igual ou superior a 60 anos
Obtiver maior número de acertos na
prova P2
Obtiver maior nota no
bloco 1 da prova P2
Obtiver maior nota no
bloco 2 da prova P2
Obtiver maior número de acertos na
prova P1
Tiver
maior idade
Tiver exercido a função de
jurado
Portanto, o total de pontos das provas objetivas do concurso Petrobras é de 120,00 pontos, sendo 50,00 pontos para a prova P1 de Conhecimentos Básicos e 70,00 pontos para a prova P2 de Conhecimentos Específicos, com pontuação de +1,00 para acertos e -1,00 para erros."
